BAT,P143
BOOT0,P67
CIN,P124
COUT,P125
GND,P0
GND,P1
GND,P13
GND,P22
GND,P37
GND,P49
GND,P59
GND,P72
GND,P77
GND,P87
GND,P97
GND,P110
GND,P119
GND,P133
NC,P34
PA0,P115
PA1,P112
PA2,P113
PA3,P111
PA4,P108
PA5,P107
PA6,P106
PA7,P105
PA8,P28
PA9,P31
PA10,P30
PA11,P32
PA12,P33
PA13,P35
PA14,P38
PA15,P39
PB0,P102
PB1,P101
PB2,P100
PB3,P62
PB4,P63
PB5,P64
PB6,P65
PB7,P66
PB8,P68
PB9,P69
PB10,P79
PB11,P78
PB12,P3
PB13,P2
PB14,P5
PB15,P4
PC0,P123
PC1,P120
PC2,P121
PC3,P118
PC4,P104
PC5,P103
PC6,P24
PC7,P27
PC8,P26
PC9,P29
PC10,P40
PC11,P41
PC12,P42
PC13,P140
PC14,P141
PC15,P138
PD0,P43
PD1,P44
PD2,P45
PD3,P46
PD4,P47
PD5,P48
PD6,P51
PD7,P52
PD8,P7
PD9,P6
PD10,P9
PD11,P8
PD12,P11
PD13,P10
PD14,P15
PD15,P14
PE0,P70
PE1,P71
PE2,P146
PE3,P147
PE4,P144
PE5,P145
PE6,P142
PE7,P90
PE8,P89
PE9,P88
PE10,P85
PE11,P84
PE12,P83
PE13,P82
PE14,P81
PE15,P80
PF0,P139
PF1,P136
PF2,P137
PF3,P134
PF4,P135
PF5,P132
PF6,P131
PF7,P128
PF8,P129
PF9,P126
PF10,P127
PF11,P99
PF12,P98
PF13,P95
PF14,P94
PF15,P93
PG0,P92
PG1,P91
PG2,P17
PG3,P16
PG4,P19
PG5,P18
PG6,P21
PG7,P20
PG8,P23
PG9,P53
PG10,P54
PG11,P55
PG12,P56
PG13,P57
PG14,P58
PG15,P61
REF+,P117
REF-,P116
RST,P122
5V,P74
5V,P75
3V3,P12
3V3,P25
3V3,P36
3V3,P50
3V3,P60
3V3,P73
3V3,P76
3V3,P86
3V3,P96
3V3,P109
3V3,P114
3V3,P130
